"","V1"
"Marc Bell Ventures",1
"Draper Associates",4
"Sherpa Capital",1
"Fabrice Grinda",1
"Crosslink Capital",1
"Canaan Partners",4
"Tim Draper",4
"Plug & Play Ventures",1
"Maveron",1
"Start Co.",1
"Y Combinator",1
"SV Angel",1
"Sierra Ventures",4
"NMotion",1
"ff Venture Capital",1
"Techstars",1
"500 Startups",1
"Great Oaks Venture Capital",1
"Foundry Group",1
"Madrona Venture Group",4
"SoftTech VC",1
"Brendan Wallace",1
"Slow Ventures",1
"FundersClub",1
"New Enterprise Associates",1
"Illuminate Ventures",4
"Houston Angel Network",4
"Accel",1
"Allen DeBevoise",1
"Third Wave Digital",1
"Kleiner Perkins Caufield & Byers",1
"Andreessen Horowitz",1
"Social Capital",1
"OrbiMed Advisors",5
"Connecticut Innovations",5
"Signatures Capital",1
"Oxford Finance Corporation",5
"InterWest Partners",5
"Versant Ventures",5
"Astia Angels",5
"DreamIt Ventures",1
"Accuitive Medical Ventures",5
"Correlation Ventures",1
"Advanced Technology Ventures",5
"U.S. Venture Partners (USVP)",4
"Domain Associates",5
"Rock Health",5
"Google Ventures",1
"SV Life Sciences",5
"Ben Franklin Technology Partners of Southeastern Pennsylvania",5
"Health Wildcatters",5
"Bobby Yazdani",1
"Aisling Capital",5
"SOSV",1
"MB Venture Partners",5
"Silicon Valley Bank",1
"Johnson & Johnson Development Corporation",5
"Iron Yard Ventures",5
"Mercury Fund",4
"Medtronic",5
"TriStar Technology Ventures",5
"Innova Memphis",5
"Frost Data Capital",5
"Venrock",5
"Sequoia Capital",1
"OpenView Venture Partners",4
"Bessemer Venture Partners",1
"Lightspeed Venture Partners",4
"Battery Ventures",1
"Data Collective",4
"Ignition Partners",4
"Intel Capital",1
"Bain Capital Ventures",4
"Insight Venture Partners",1
"RRE Ventures",4
"CRV",1
"AME Cloud Ventures",1
"Collaborative Fund",1
"Jump Capital",4
"Blockchain Capital",4
"Khosla Ventures",1
"Amplify.LA",1
"Advancit Capital",1
"QueensBridge Venture Partners",1
"Lerer Hippeau Ventures",1
"WI Harper Group",1
"VegasTechFund",1
"Innovation Works",5
"SoftBank Capital",1
"Sapphire Ventures",4
"Luminari Capital",1
"United Talent Agency",1
"Ribbit Capital",1
"David Cohen",6
"GSV Capital",3
"Kaplan EdTech Accelerator",3
"NewSchools Venture Fund",3
"Wefunder",3
"Entrepreneurs Roundtable Accelerator",1
"BDMI",1
"Alexis Ohanian",1
"Microsoft Ventures",1
"Raj Sandhu",1
"Union Square Ventures",1
"Garry Tan",1
"Trilogy Equity Partners",1
"Shasta Ventures",1
"VentureSpur",1
"SparkLabs Global Ventures",1
"Translink Capital",1
"Vayner/RSE",1
"Second Avenue Partners",1
"Oak Investment Partners",1
"Verizon Ventures",1
"XG Ventures",1
"Scout Ventures",1
"Greylock Partners",1
"Tenaya Capital",1
"Norwest Venture Partners - NVP",1
"Thanos Triant",1
"Marc Benioff",1
"August Capital",1
"Atlas Venture",4
"Harmony Partners",1
"CrunchFund",1
"Avalon Ventures",1
"DCM",1
"Middleland Capital",1
"Redpoint Ventures",1
"Invest Nebraska",1
"Kevin Colleran",1
"Galvanize Ventures",1
"Northgate Capital",1
"True Ventures",1
"Drummond Road Capital",1
"Spark Capital",1
"Gary Vaynerchuk",1
"BoxGroup",1
"Scott Banister",1
"Javelin Venture Partners",1
"Darling Ventures",1
"Portland Seed Fund",1
"Highland Capital Partners",1
"Scrum Ventures",1
"First Round",1
"Lux Capital",1
"Rich Barton",1
"Danhua Capital",1
"Qualcomm Ventures",1
"Relay Ventures",1
"Founders Co-op",1
"Nokia Growth Partners",1
"Eniac Ventures",1
"NGEN Partners",1
"Trinity Capital Investment",4
"Braemar Energy Ventures",1
"Metamorphic Ventures",4
"Maryland Venture Fund",4
"Goldman Sachs",4
"Allegis Capital",1
"The Blackstone Group",1
"Fairhaven Capital Partners",1
"SeedInvest",1
"Tiger Global Management",1
"Susquehanna Growth Equity",1
"IVP",1
"Green Visor Capital",1
"Foundation Capital",4
"Menlo Ventures",1
"Mark Cuban",1
"Farzad (Zod) Nazem",4
"Fenox Venture Capital",1
"Rincon Venture Partners",1
"Mayfield Fund",4
"Montage Ventures",1
"American Family Ventures",1
"Next World Capital",4
"Polaris Partners",4
"Fidelity Investments",4
"Costanoa Venture Capital",4
"NYC Seed",4
"Trinity Ventures",4
"Nexus Venture Partners",4
"CIT GAP Funds",4
"Contour Venture Partners",4
"Josh James",4
"StarVest Partners",4
"Emergence Capital Partners",4
"Zetta Venture Partners",4
"Comcast Ventures",1
"Allos Ventures",4
"Tribeca Venture Partners",4
"Mohr Davidow Ventures",4
"Acceleprise San Francisco",4
"Felicis Ventures",4
"General Catalyst Partners",1
"NextView Ventures",4
"Salesforce Ventures",4
"Bloomberg Beta",4
"Transmedia Capital",1
"Quest Venture Partners",4
"T. Rowe Price",4
"Rev1 Ventures",4
"Draper Fisher Jurvetson (DFJ)",4
"North Bridge Venture Partners & Growth Equity",4
"Scale Venture Partners",4
"MHS Capital",4
"SharesPost Investment Management",4
"Pelion Venture Partners",4
