"","company_name","investor_name"
"1",".","Oleg Serdyukov"
"2","#BratPackStyle, LLC.","Nine Inc. LLC."
"3","1 Mainstream","Sky"
"4","1001pharmacies.com","CM-CIC Capital Prive"
"5","1001pharmacies.com","Newfund"
"6","1001pharmacies.com","Olivier Mathiot"
"7","1001pharmacies.com","Pierre Kosciusko-Morizet"
"8","1001pharmacies.com","Xavier Niel"
"9","10X Genomics","Foresite Capital"
"10","10X Genomics","Paladin Capital Group"
"11","10X Genomics","Venrock"
"12","123Feng.Com","Lightspeed Venture Partners"
"13","123Feng.Com","Matrix Partners"
"14","123Greetings","Intel Capital"
"15","1366 Technologies","Haiyin Capital"
"16","16WiFi","Baidu"
"17","16WiFi","United Electronics Co."
"18","17 Media","Infinity Venture Partners"
"19","17 Media","Prometheus Capital"
"20","17hats","Wavemaker Partners"
"21","17zuoye","H Capital"
"22","17zuoye","Shunwei Capital"
"23","17zuoye","Temasek Holdings"
"24","17zuoye","Yuri Milner"
"25","1CommMedical","Next Level Ventures"
"26","1DocWay","Asset Management Ventures (AMV)"
"27","1DocWay","DreamIt Ventures"
"28","1DocWay","Fresco Capital"
"29","1DocWay","Great Oaks Venture Capital"
"30","1DocWay","iSeed Ventures"
"31","1DocWay","Meyer Ventures"
"32","1DocWay","Rock Health"
"33","1DocWay","Rock My World"
"34","1DocWay","Texas Medical Center"
"35","1DocWay","VilCap Investments"
"36","1DocWay","Waterline Ventures"
"37","1DocWay","Wonder Ventures"
"38","1mg","Intel Capital"
"39","1mg","Omidyar Network"
"40","1mg","Sequoia Capital"
"41","1mxians","Kunlun"
"42","1stdibs","Insight Venture Partners"
"43","1World Online","Altair Capital"
"44","1World Online","AltaIR Capital"
"45","1World Online","DEFTA Partners"
"46","1World Online","GVA LaunchGurus Fund 1 L.P."
"47","1World Online","NEST"
"48","20Dresses","Srinivas Aluri"
"49","20Dresses","Srinivas Modukury"
"50","20n","Blumberg Capital"
"51","20n","Great Oaks Venture Capital"
"52","20n","Khosla Ventures"
"53","20n","Y Combinator"
"54","21 Inc","Andreessen Horowitz"
"55","21 Inc","Data Collective"
"56","21 Inc","Khosla Ventures"
"57","21 Inc","Pantera Capital"
"58","21 Inc","Peter Thiel"
"59","21 Inc","Qualcomm Ventures"
"60","21 Inc","RRE Ventures"
"61","21 Inc","Yuan Capital"
"62","23andMe","Casdin Capital"
"63","23andMe","Fidelity Management & Research"
"64","23andMe","WuXi Healthcare Ventures"
"65","23andMe","Xfund"
"66","24fab","Go Beyond Investing"
"67","24fab","Maria Eugenia Giron"
"68","24i","Newion Investments"
"69","2C2P","Amun Capital"
"70","2C2P","GMO VenturePartners"
"71","2can","Almaz Capital"
"72","2can","ESN Group"
"73","2can","Inventure Partners"
"74","2Checkout","Trinity Capital Investment"
"75","2lemetry","Salesforce Ventures"
"76","2mee","Angels Den"
"77","2Morrow Inc","Alliance of Angels"
"78","3 Kinds of Ice","Chris Mairs"
"79","3 Kinds of Ice","David Garofalo"
"80","3 Kinds of Ice","Downing Ventures"
"81","3 Minute","LINE Corporation"
